BookCode,BookTitle,BookDescription,CountPage,PrintType,Authors,SalesAvailable,PublicDomain,PreviewAvaliable,idBookDimension,BookCategory
9789461956507,"Super fácil colorir","Esse livro traz desenhos com contornos grossos que tornam mais fácil para a criança pintar dentro dos seus limites. A forma e o tamanho das figuras são ideais para os mais novinhos- além de divertirem, ajudam a desenvolver a coordenação motora. Para inspirar a escolha das cores na hora de pintar os desenhos, o livro ainda tem mais de 90 adesivos multicoloridos e reutilizáveis.",0,0,"Yoyo Books",1,1,0,4761,0
9789461956507,"Super fácil colorir","Esse livro traz desenhos com contornos grossos que tornam mais fácil para a criança pintar dentro dos seus limites. A forma e o tamanho das figuras são ideais para os mais novinhos- além de divertirem, ajudam a desenvolver a coordenação motora. Para inspirar a escolha das cores na hora de pintar os desenhos, o livro ainda tem mais de 90 adesivos multicoloridos e reutilizáveis.",0,1,"Yoyo Books",1,1,1,4762,0
9789461956507,"Super fácil colorir","Esse livro traz desenhos com contornos grossos que tornam mais fácil para a criança pintar dentro dos seus limites. A forma e o tamanho das figuras são ideais para os mais novinhos- além de divertirem, ajudam a desenvolver a coordenação motora. Para inspirar a escolha das cores na hora de pintar os desenhos, o livro ainda tem mais de 90 adesivos multicoloridos e reutilizáveis.",0,0,"Yoyo Books",1,1,1,4763,0
9788599905487,"São Marcos de Palestra Itália","A Realejo Edições lança livro sobre o goleiro Marcos, do Palmeiras. São Marcos de Palestra Itália, escrito pelo jornalista Celso de Campos Jr, discorre sobre a vida do ídolo palmeirense que, no dia 4 de janeiro, deu fim a sua carreira no futebol. Na obra, Campos Jr. conta a trajetória do goleiro desde o início como jogador até a consagração com a conquista do pentacampeonato na Copa do Mundo de 2002. Marcos é reconhecido não apenas pelo talento, mas também pela atitude de fidelidade ao time, quando recusou uma proposta milionária feita pelo inglês Arsenal em 2003, e escolheu continuar no país e jogar na segunda divisão do Campeonato Brasileiro. No livro, o jornalista destaca essa entre outras qualidades do goleiro.",4,0,"Celso de Campos Jr",1,1,0,4764,0
9788599905487,"São Marcos de Palestra Itália","A Realejo Edições lança livro sobre o goleiro Marcos, do Palmeiras. São Marcos de Palestra Itália, escrito pelo jornalista Celso de Campos Jr, discorre sobre a vida do ídolo palmeirense que, no dia 4 de janeiro, deu fim a sua carreira no futebol. Na obra, Campos Jr. conta a trajetória do goleiro desde o início como jogador até a consagração com a conquista do pentacampeonato na Copa do Mundo de 2002. Marcos é reconhecido não apenas pelo talento, mas também pela atitude de fidelidade ao time, quando recusou uma proposta milionária feita pelo inglês Arsenal em 2003, e escolheu continuar no país e jogar na segunda divisão do Campeonato Brasileiro. No livro, o jornalista destaca essa entre outras qualidades do goleiro.",4,1,"Celso de Campos Jr",1,1,1,4765,0
9788599818084,"A marca da besta",NULL,20,0,"Robson Pinheiro",1,1,1,4766,0
9788599560532,"Ame o que é seu",NULL,12,0,"Emilly Giffin",1,1,1,4767,0
9788599560518,"Noites de tormenta",NULL,76,0,"Nicholas Sparks",1,1,0,4768,0
9788599296851,"Queda de gigantes",NULL,12,0,"Ken Follett",1,1,0,4769,1
9788599296851,"Queda de gigantes",NULL,12,0,"Ken Follett",1,1,0,4770,1
9788599296554,"O símbolo perdido",NULL,12,0,"Dan Brown",1,1,0,4771,1
9788599296363,"A cabana",NULL,40,0,"William P. Young",1,1,0,4772,1
